,symbol,last_price,strike,atm_call_last,atm_put_last,atm_call_IV,atm_put_IV
0,AMLP,37.7599983215332,38.0,0.47,1.25,0.2329178271484375,0.41699801757812494
1,ARKF,20.079999923706055,20.5,1.0,0.95,0.5449264257812501,0.5644574804687501
2,ARKG,39.404998779296875,39.5,1.8,1.8,0.4848684326171875,0.5732464550781251
3,ARKK,49.22999954223633,49.5,2.34,2.36,0.5444381494140625,0.5756878369140624
4,ASHR,31.15999984741211,31.5,0.26,0.99,0.243171630859375,0.2387771435546875
5,BITO,14.199999809265137,14.5,0.7,0.94,0.6816438085937502,0.6816438085937502
6,BKLN,21.18000030517578,22.0,0.1,1.2,0.25489026367187506,0.31250687499999996
7,DIA,325.9599914550781,326.0,3.95,4.15,0.1524742956542969,0.1604698211669922
8,DUST,22.895000457763672,23.0,1.0,2.15,0.75586181640625,0.7939473730468749
9,EEM,39.85499954223633,40.0,0.59,0.59,0.195320546875,0.16846534667968754
10,EFA,64.66000366210938,65.0,0.84,0.83,0.1772543212890625,0.17359224853515626
11,EMB,87.75,88.0,1.26,0.64,0.15479360839843753,0.13086806640624998
12,ERX,48.064998626708984,48.5,2.55,3.19,0.6992217578125001,0.692385888671875
13,EWJ,55.040000915527344,55.5,0.67,0.65,0.1757894921875,0.15088739746093754
14,EWU,30.540000915527344,31.0,0.5,0.6,0.22071091796874998,0.21680470703125
15,EWW,45.64500045776367,46.0,0.6,0.82,0.247077841796875,0.2461012890625
16,EWY,60.57500076293945,61.0,1.02,1.1,0.25440198730468755,0.22901161621093752
17,EWZ,29.469999313354492,29.5,0.79,0.64,0.33301448242187504,0.32520206054687495
18,FAS,75.68000030517578,76.0,3.4,3.1,0.57617611328125,0.5688519677734375
19,FAZ,23.155000686645508,23.5,0.93,0.77,0.6044961425781252,0.5937540625000001
20,FEZ,36.25,37.0,0.81,1.0,0.2612378564453125,0.24073024902343748
21,FXE,93.87000274658203,94.0,1.25,0.7,0.10035079345703124,0.09644458251953125
22,FXI,29.979999542236328,30.0,0.69,0.62,0.2802806347656249,0.26367923828125
23,GDX,25.84000015258789,26.0,0.79,0.88,0.418951123046875,0.3857483300781249
24,GDXJ,33.029998779296875,33.5,1.0,1.23,0.46484910156250003,0.43506424316406256
25,GLD,165.41990661621094,165.5,2.05,1.85,0.14869015380859374,0.13526255371093754
26,HYG,77.7300033569336,78.0,0.6,0.74,0.12012598632812499,0.1137783935546875
27,IAU,33.709999084472656,34.0,0.28,1.85,0.1757894921875,0.1606529248046875
28,IBB,129.7100067138672,130.0,2.17,2.59,0.21826953613281247,0.3002999658203125
29,ICLN,22.225000381469727,22.5,0.55,0.7,0.43164630859375,0.41699801757812494
30,IEF,103.3550033569336,103.5,1.82,0.81,0.11841701904296875,0.09620044433593751
31,ITB,59.93000030517578,60.0,1.82,1.15,0.335944140625,0.313483427734375
32,IVV,412.7749938964844,413.0,6.9,8.8,0.19800606689453126,0.1883015740966797
33,IWM,188.9384002685547,189.0,3.39,3.49,0.22315229980468748,0.22510540527343748
34,IYR,97.38999938964844,97.5,1.9,1.68,0.21753712158203126,0.2036212451171875
35,JDST,12.470000267028809,12.5,0.55,1.2,0.8320329296874999,0.92773509765625
36,JETS,18.219999313354492,18.5,0.37,0.58,0.34180345703125,0.34180345703125
37,JNUG,34.77000045776367,35.0,2.77,2.37,0.8920909228515624,0.8457046679687499
38,KRE,63.83000183105469,64.0,0.97,1.65,0.22705851074218747,0.24073024902343748
39,KWEB,28.295000076293945,28.42,1.16,1.11,0.500005,0.4760794580078125
40,LABD,19.170000076293945,20.0,2.25,1.85,1.6328143359374998,0.764650791015625
41,LABU,11.295000076293945,11.5,0.64,1.32,0.8125018749999999,1.5761739941406248
42,LQD,112.33000183105469,112.5,2.14,0.43,0.1245204736328125,0.10474528076171874
43,MJ,6.039999961853027,6.5,0.15,0.53,0.6523472265625001,0.507817421875
44,MSOS,11.3100004196167,11.5,0.55,0.85,0.7500025,0.7070341796875
45,NUGT,30.110000610351562,30.5,1.88,2.25,0.8017597949218749,0.7656273437500001
46,OIH,227.17999267578125,227.5,9.1,8.0,0.4982960327148438,0.49182637084960945
47,QQQ,318.9280090332031,319.0,6.58,6.36,0.2564771618652344,0.24439232177734377
48,SARK,49.87950134277344,50.0,1.7,2.79,0.6157264990234376,0.5297898583984376
49,SDS,42.17070007324219,42.5,1.1,1.8,0.38184211914062494,0.3881897119140625
50,SILJ,9.699999809265137,10.0,0.35,0.55,0.5449264257812501,0.5117236328125
51,SLV,18.329999923706055,18.5,0.32,0.44,0.27539787109374997,0.24024197265624997
52,SMH,240.64999389648438,242.5,6.85,7.1,0.3309393078613281,0.32166205688476557
53,SOXL,20.75,21.0,1.55,1.55,0.9951172363281251,0.9355475195312499
54,SOXS,36.95000076293945,37.0,2.2,4.15,0.937500625,1.0468797656250002
55,SPXU,15.4350004196167,15.5,0.65,0.8,0.5410202148437502,0.561527822265625
56,SPY,410.7099914550781,411.0,6.01,6.16,0.18476157043457028,0.18177087768554687
57,SQQQ,38.36000061035156,39.0,2.12,2.86,0.7675804492187501,0.7949239257812499
58,SSO,52.900001525878906,53.0,2.1,1.58,0.3852600537109374,0.3852600537109374
59,SVXY,53.599998474121094,54.0,0.95,1.0,0.2500075,0.2387771435546875
60,TAN,83.87999725341797,84.0,2.84,5.4,0.43604079589843747,0.5217332983398437
61,TBT,25.209999084472656,25.5,0.53,1.09,0.3437565625,0.36914693359375
62,TLT,115.90499877929688,116.0,1.7,1.46,0.1914143359375,0.16577982666015628
63,TNA,44.47999954223633,44.5,2.69,2.25,0.6914093359375001,0.6357458300781251
64,TQQQ,34.310001373291016,34.5,2.21,2.12,0.7495142236328125,0.7334011035156249
65,TZA,32.91999816894531,33.0,1.82,2.21,0.6679720703125002,0.700198310546875
66,UCO,33.939998626708984,34.0,2.2,2.07,0.8398453515625,0.8085956640624999
67,UNG,28.1200008392334,28.5,1.72,2.0,0.8125018749999999,0.7773459765625
68,UPRO,44.279998779296875,44.5,2.25,2.1,0.5385788330078126,0.53320779296875
69,URA,21.06999969482422,21.5,0.6,1.0,0.49219257812500006,0.47461462890625
70,USO,72.6500015258789,73.0,2.33,2.65,0.4331111376953125,0.43164630859375
71,UUP,28.53499984741211,29.0,0.09,0.58,0.12696185546875,0.11426666992187501
72,UVXY,10.314000129699707,10.5,0.8,1.02,1.0468797656250002,1.052739111328125
73,VIXY,14.579999923706055,15.0,0.5,0.83,0.53320779296875,0.5820354296875
74,VXX,21.689300537109375,22.0,0.6,1.36,0.47363807617187503,0.6445348046875
75,WEAT,8.149999618530273,8.5,0.2,0.44,0.51562984375,0.51562984375
76,XBI,90.05000305175781,91.0,1.85,5.13,0.2885813330078124,0.5493209130859377
77,XHB,63.25,63.5,1.24,1.45,0.30664755859375,0.29688203124999996
78,XLB,76.69000244140625,77.0,1.41,1.5,0.233406103515625,0.23169713623046873
79,XLC,56.61000061035156,57.0,1.07,1.44,0.2910227148437499,0.23828886718749998
80,XLE,73.12000274658203,73.5,2.08,2.03,0.36865865722656255,0.352545537109375
81,XLF,33.63140106201172,34.0,0.36,0.71,0.1992267578125,0.20703917968749996
82,XLI,95.33999633789062,95.5,1.48,1.25,0.20459779785156246,0.17993984130859375
83,XLK,145.38999938964844,146.0,3.35,2.52,0.26782958740234375,0.23206334350585936
84,XLP,74.06999969482422,74.5,0.71,1.06,0.15479360839843753,0.14112187011718752
85,XLU,73.81500244140625,74.0,0.93,0.78,0.192390888671875,0.16651224121093755
86,XLV,131.10000610351562,131.5,1.48,2.17,0.15552602294921875,0.1632163757324219
87,XLY,163.86000061035156,164.0,3.73,3.2,0.3070137658691406,0.2775951147460937
88,XME,48.0099983215332,48.5,1.57,1.5,0.4184628466796875,0.42139250488281255
89,XOP,129.1699981689453,129.5,3.65,6.7,0.46985393432617195,0.45752495605468757
90,XRT,65.98999786376953,66.0,2.44,1.32,0.37402969726562496,0.34961587890624996
91,YINN,66.4000015258789,67.0,3.99,3.63,0.815431533203125,0.7502466381835937
