tick
ARKF
ARKG
ARKK
ASHR
BITO
BKLN
EWJ
FEZ
HYG
ICLN
IEF
IVV
IYR
JETS
KRE
KWEB
LQD
MJ
MSOS
QQQ
SDS
SOXL
SPY
TLT
TQQQ
UNG
URA
UUP
WEAT
XBI
XHB
XLY
