dollar_price_point,count_open,count_high,count_low,count_close,count_sum,count_sum_pct
124.0,3.0,0.0,5.0,3.0,11.0,0.004192073170731708
36.0,2.0,4.0,1.0,4.0,11.0,0.004192073170731708
118.0,1.0,4.0,4.0,1.0,10.0,0.0038109756097560975
101.0,2.0,6.0,1.0,1.0,10.0,0.0038109756097560975
135.0,4.0,3.0,0.0,3.0,10.0,0.0038109756097560975
116.0,3.0,5.0,0.0,2.0,10.0,0.0038109756097560975
114.0,4.0,2.0,2.0,2.0,10.0,0.0038109756097560975
108.0,2.0,2.0,4.0,2.0,10.0,0.0038109756097560975
122.0,2.0,1.0,5.0,2.0,10.0,0.0038109756097560975
115.0,2.0,2.0,1.0,4.0,9.0,0.003429878048780488
113.0,1.0,2.0,2.0,4.0,9.0,0.003429878048780488
47.0,1.0,1.0,6.0,1.0,9.0,0.003429878048780488
48.0,2.0,0.0,5.0,2.0,9.0,0.003429878048780488
107.0,1.0,4.0,3.0,0.0,8.0,0.003048780487804878
137.0,2.0,3.0,0.0,3.0,8.0,0.003048780487804878
123.0,1.0,2.0,4.0,1.0,8.0,0.003048780487804878
37.0,3.0,3.0,1.0,1.0,8.0,0.003048780487804878
100.0,2.0,3.0,1.0,2.0,8.0,0.003048780487804878
46.0,2.0,1.0,3.0,2.0,8.0,0.003048780487804878
106.0,1.0,2.0,3.0,2.0,8.0,0.003048780487804878
112.0,3.0,1.0,1.0,2.0,7.0,0.0026676829268292685
125.0,2.0,0.0,3.0,2.0,7.0,0.0026676829268292685
131.0,1.0,2.0,2.0,1.0,6.0,0.0022865853658536584
136.0,2.0,3.0,0.0,1.0,6.0,0.0022865853658536584
119.0,2.0,1.0,1.0,2.0,6.0,0.0022865853658536584
105.0,3.0,0.0,0.0,3.0,6.0,0.0022865853658536584
139.0,1.0,3.0,1.0,0.0,5.0,0.0019054878048780487
110.0,0.0,0.0,4.0,1.0,5.0,0.0019054878048780487
150.0,1.0,1.0,2.0,1.0,5.0,0.0019054878048780487
130.0,0.0,3.0,1.0,1.0,5.0,0.0019054878048780487
138.0,2.0,1.0,0.0,2.0,5.0,0.0019054878048780487
134.0,0.0,0.0,3.0,2.0,5.0,0.0019054878048780487
149.0,1.0,2.0,1.0,1.0,5.0,0.0019054878048780487
