,symbol,last_price,strike,atm_call_last,atm_put_last,atm_call_IV,atm_put_IV
0,AMLP,38.73500061035156,38.0,0.7,0.35,0.25879647460937505,0.29444064941406245
1,ARKF,21.709999084472656,21.0,0.75,0.475,0.5097705273437501,0.5820354296875
2,ARKG,42.91999816894531,42.0,1.475,1.175,0.42774009765625004,0.5854533642578125
3,ARKK,53.72999954223633,53.0,1.8050000000000002,1.6749999999999998,0.42969320312500003,0.6044961425781252
4,ASHR,31.877500534057617,31.5,0.595,0.28500000000000003,0.22461712890624996,0.25489026367187506
5,BITO,15.350000381469727,15.0,0.8200000000000001,0.525,0.6621127539062501,0.7226590234375
6,BKLN,21.459999084472656,21.0,0.325,0.05,0.24024197265624997,0.20313296874999998
7,DIA,336.6449890136719,336.0,2.74,3.2,0.11548736083984376,0.16913672668457033
8,DUST,20.520000457763672,20.5,0.9,0.95,0.69336244140625,0.7480493945312501
9,EEM,41.185001373291016,41.0,0.45999999999999996,0.355,0.147469462890625,0.17774259765625
10,EFA,66.71320343017578,66.5,0.7250000000000001,0.5700000000000001,0.1577232666015625,0.17041845214843754
11,EMB,90.54499816894531,90.0,0.745,0.44999999999999996,0.1757894921875,0.15137567382812503
12,ERX,53.02000045776367,53.0,2.0250000000000004,2.05,0.6069375244140626,0.6206092626953126
13,EWJ,56.72999954223633,56.5,0.63,0.45999999999999996,0.213875048828125,0.231452998046875
14,EWU,31.200000762939453,31.0,0.425,0.22499999999999998,0.20117986328124998,0.20117986328124998
15,EWW,47.834999084472656,47.5,0.8,0.47500000000000003,0.22412885253906245,0.23633576171874998
16,EWY,62.349998474121094,62.0,0.9750000000000001,0.7,0.22168747070312497,0.2348709326171875
17,EWZ,31.565000534057617,31.5,0.61,0.5700000000000001,0.30371790039062496,0.31445998046874996
18,FAS,86.58000183105469,85.0,1.96,2.17,0.45117736328125,0.5380905566406251
19,FAZ,20.08989906311035,20.0,0.7749999999999999,0.55,0.5800823242187501,0.5136767382812499
20,FEZ,37.310001373291016,37.0,0.625,0.4,0.22754678710937498,0.25440198730468755
21,FXE,95.60800170898438,95.5,0.575,0.35,0.0991301025390625,0.07544869873046878
22,FXI,30.600000381469727,30.5,0.5449999999999999,0.53,0.29688203124999996,0.3193427441406249
23,GDX,27.290000915527344,27.0,0.8049999999999999,0.455,0.39063109375,0.34961587890624996
24,GDXJ,34.650001525878906,34.5,0.94,0.77,0.41699801757812494,0.40820904296875
25,GLD,167.3699951171875,167.0,1.635,1.0550000000000002,0.1401453173828125,0.11902736450195311
26,HYG,79.27999877929688,79.0,0.625,0.44999999999999996,0.10450114257812498,0.12500875
27,IAU,34.11000061035156,34.0,0.35,0.2,0.1601646484375,0.141610146484375
28,IBB,134.24490356445312,134.0,2.075,1.875,0.24097438720703124,0.24634542724609376
29,ICLN,23.65999984741211,23.0,0.625,0.3,0.41797457031249996,0.42774009765625004
30,IEF,103.87999725341797,103.5,0.875,0.275,0.11304597900390626,0.07496042236328126
31,ITB,62.779998779296875,62.5,1.05,1.125,0.243171630859375,0.3403386279296875
32,IVV,427.0400085449219,422.0,3.85,2.8,0.1487511883544922,0.19300123413085937
33,IWM,199.0500030517578,199.0,2.3049999999999997,2.995,0.18262536132812499,0.24488059814453128
34,IYR,102.02999877929688,102.0,1.08,1.115,0.17603363037109376,0.1870198486328125
35,JDST,11.350000381469727,11.0,0.7749999999999999,0.375,0.8339860351562498,0.7597680273437502
36,JETS,18.969999313354492,18.5,0.605,0.195,0.304694453125,0.35156898437499995
37,JNUG,38.27000045776367,38.0,1.975,1.725,0.7695335546875001,0.7778342529296876
38,KRE,66.55000305175781,66.5,0.865,0.94,0.2124102197265625,0.241218525390625
39,KWEB,29.600000381469727,29.5,0.75,0.9650000000000001,0.393560751953125,0.5478560839843751
40,LABD,16.375,16.0,1.35,1.1,1.138676181640625,1.26172244140625
41,LABU,12.760000228881836,12.5,1.125,0.825,1.259769326171875,1.1953165234375
42,LQD,114.44000244140625,114.0,1.13,0.42,0.14600463378906248,0.09449147705078126
43,MJ,6.405399799346924,6.0,0.45,0.1,0.632816171875,0.648441015625
44,MSOS,12.204999923706055,12.0,0.675,0.47500000000000003,0.7480493945312501,0.7539087109375
45,NUGT,33.56159973144531,33.5,1.6,1.375,0.747072841796875,0.6689486230468751
46,OIH,238.3800048828125,237.5,6.7,6.65,0.43958079956054685,0.5122119091796875
47,QQQ,330.34991455078125,330.0,4.305,5.015000000000001,0.20020331054687499,0.2515943981933594
48,SARK,45.209999084472656,45.0,1.975,1.1,0.6611362011718751,0.46094289062500005
49,SDS,39.38999938964844,39.0,1.85,0.5,0.46191944335937507,0.29688203124999996
50,SILJ,10.310600280761719,10.0,0.45,0.2,0.5898478515625001,0.523442265625
51,SLV,18.950000762939453,18.5,0.585,0.125,0.2695385546875,0.257819921875
52,SMH,244.91000366210938,242.5,4.825,4.5,0.23352817260742187,0.37500625
53,SOXL,21.59000015258789,21.5,0.94,1.565,0.6630893066406252,1.1943399658203124
54,SOXS,34.0099983215332,34.0,2.6,1.35,1.2197304638671875,0.6367223828125
55,SPXU,13.904999732971191,13.5,0.735,0.255,0.5898478515625001,0.6035195898437502
56,SPY,424.8900146484375,424.0,4.325,4.4399999999999995,0.145516357421875,0.18329674133300777
57,SQQQ,34.369998931884766,34.0,1.9100000000000001,1.105,0.8027363476562499,0.5986368261718751
58,SSO,56.529998779296875,56.0,1.25,1.0499999999999998,0.301764794921875,0.3969786865234375
59,SVXY,55.720001220703125,55.5,0.8,0.675,0.225593681640625,0.2456130126953125
60,TAN,89.70999908447266,89.0,2.75,2.05,0.4519097778320313,0.45361874511718747
61,TBT,25.162799835205078,25.0,0.505,0.515,0.27637442382812494,0.4062559375
62,TLT,116.05999755859375,116.0,1.46,0.965,0.19800606689453126,0.13892462646484377
63,TNA,51.81129837036133,51.0,2.145,1.905,0.5307664111328125,0.710940390625
64,TQQQ,37.98500061035156,37.0,1.88,1.3,0.5664105859375,0.745119736328125
65,TZA,27.879899978637695,27.0,1.83,0.5700000000000001,0.7841818457031251,0.5488326367187502
66,UCO,36.72990036010742,36.5,1.825,1.5499999999999998,0.745119736328125,0.725588681640625
67,UNG,28.8700008392334,28.5,1.6099999999999999,1.12,0.789064609375,0.7216824707031251
