,symbol,last_price,strike,atm_call_last,atm_put_last,atm_call_IV,atm_put_IV
0,AMLP,37.81999969482422,37.0,1.55,1.3,0.23902128173828124,0.366217275390625
1,ARKF,20.280000686645508,20.0,1.6,1.25,0.5600629931640625,0.5712933496093751
2,ARKG,40.38999938964844,40.0,25.5,2.55,1.0000000000000003e-05,0.007822421875
3,ARKK,50.06999969482422,50.0,3.78,3.73,0.567387138671875,0.5666547241210937
4,ASHR,31.219999313354492,31.0,1.03,1.12,0.2299881689453125,0.242195078125
5,BITO,14.170000076293945,14.0,1.44,1.33,0.709963837890625,0.7500025
6,BKLN,21.25,21.0,0.3,0.4,0.10938390625,0.20020331054687499
7,DIA,327.9700012207031,325.0,8.55,6.1,0.16300275482177734,0.17633880310058597
8,DUST,22.190000534057617,22.0,2.62,1.45,0.782228740234375,0.78711150390625
9,EEM,40.060001373291016,40.0,1.08,0.98,0.2036212451171875,0.19043778320312502
10,EFA,65.01000213623047,65.0,1.67,1.5,0.20191227783203125,0.18579915771484373
11,EMB,88.47000122070312,88.0,1.51,1.87,0.17176121215820314,0.17701018310546873
12,ERX,48.0,47.0,5.63,4.42,0.747072841796875,0.7075224560546876
13,EWJ,55.310001373291016,55.0,1.77,1.05,0.19385571777343752,0.17212741943359378
14,EWU,30.639999389648438,30.0,1.3,0.65,0.2461012890625,0.2309647216796875
15,EWW,45.34000015258789,45.0,1.9,1.32,0.260749580078125,0.2507399145507812
16,EWY,60.72999954223633,60.0,1.89,1.63,0.27466545654296876,0.2534254345703125
17,EWZ,29.75,29.0,1.87,1.11,0.3833069482421875,0.37305314453125
18,FAS,76.23999786376953,76.0,7.25,6.55,0.6081582153320313,0.6047402807617189
19,FAZ,23.010000228881836,23.0,2.56,1.82,0.6250037500000001,0.6367223828125
20,FEZ,36.47999954223633,36.0,1.85,1.2,0.2778392529296875,0.2841868457031249
21,FXE,94.05999755859375,94.0,1.45,1.16,0.11292390991210938,0.09388113159179687
22,FXI,30.139999389648438,30.0,1.22,1.05,0.29834686035156244,0.28076891113281244
23,GDX,26.280000686645508,26.0,1.56,1.2,0.40820904296875,0.3852600537109374
24,GDXJ,33.7400016784668,33.0,2.13,1.79,0.46191944335937507,0.43457596679687505
25,GLD,165.2899932861328,165.0,3.7,2.94,0.16089706298828127,0.1378260046386719
26,HYG,78.04000091552734,78.0,1.17,1.51,0.11597563720703125,0.14002324829101562
27,IAU,33.68000030517578,33.0,1.4,0.35,0.1948322705078125,0.15430533203125002
28,IBB,131.44000244140625,131.0,5.05,5.9,0.28943581665039053,0.2633130310058594
29,ICLN,22.40999984741211,22.0,1.4,0.9,0.41602146484374997,0.36817038085937503
30,IEF,103.58000183105469,103.0,1.83,1.85,0.11609770629882812,0.09925217163085936
31,ITB,60.459999084472656,60.0,2.86,2.31,0.3371648315429688,0.3198310205078124
32,IVV,415.5899963378906,415.0,11.2,10.6,0.21256280609130856,0.19083450775146482
33,IWM,190.8000030517578,190.0,6.9,5.63,0.24793232543945312,0.24213404357910157
34,IYR,98.55000305175781,98.0,2.63,2.42,0.21436332519531248,0.19995917236328126
35,JDST,11.970000267028809,11.0,2.16,0.8,0.8730481445312499,0.8349625878906248
36,JETS,18.260000228881836,18.0,1.03,0.73,0.38184211914062494,0.37305314453125
37,JNUG,36.369998931884766,36.0,4.3,5.0,0.8632826171875,0.8569350244140624
38,KRE,64.04000091552734,64.0,2.25,2.03,0.3225165405273437,0.3002999658203125
39,KWEB,28.549999237060547,28.0,2.2,1.61,0.5092822509765625,0.48242705078125003
40,LABD,17.670000076293945,15.0,4.2,1.45,1.2939488427734374,1.2490271923828122
41,LABU,12.079999923706055,12.0,2.0,2.05,1.2099648876953122,1.228519482421875
42,LQD,113.0199966430664,113.0,1.68,1.71,0.11707425903320312,0.11316804809570313
43,MJ,6.070000171661377,6.0,0.45,0.5,0.57617611328125,0.6015664843750002
44,MSOS,11.729999542236328,11.0,1.2,0.87,0.7919942675781251,0.7617211328125001
45,NUGT,31.100000381469727,31.0,2.86,2.9,0.7729514892578125,0.7851583984375
46,OIH,225.1999969482422,225.0,16.7,14.2,0.5105639764404297,0.499028447265625
47,QQQ,321.75,321.0,11.93,10.42,0.2651440673828125,0.2580030255126954
48,SARK,49.16999816894531,49.0,4.1,4.07,0.5744671459960937,0.5622602368164062
49,SDS,41.65999984741211,41.0,2.45,1.7,0.3991759301757813,0.4008848974609375
50,SILJ,9.9399995803833,9.0,1.32,0.4,0.56055126953125,0.596683720703125
51,SLV,18.329999923706055,18.0,0.85,0.48,0.27686270019531245,0.264655791015625
52,SMH,243.6199951171875,240.0,13.0,8.91,0.34961587890624996,0.32996275512695306
53,SOXL,21.559999465942383,21.0,3.07,2.56,0.983398603515625,0.9873048144531251
54,SOXS,35.650001525878906,35.0,5.11,4.4,1.003422951660156,1.003667091064453
55,SPXU,15.140000343322754,15.0,1.3,1.09,0.58789474609375,0.5908244042968751
