,symbol,last_price,strike,atm_call_last,atm_put_last,atm_call_IV,atm_put_IV
0,AMLP,41.150001525878906,41.0,0.575,0.6000000000000001,0.2978585839843749,0.37695935546875
1,ARKF,17.850000381469727,17.5,0.6499999999999999,0.375,0.5507857421875001,0.6445348046875
2,ARKG,36.16999816894531,36.0,1.0,1.0,0.5419967675781252,0.6425816992187501
3,ARKK,42.70000076293945,42.5,1.2650000000000001,1.2149999999999999,0.586918193359375,0.65820654296875
4,ASHR,30.104999542236328,30.0,1.375,0.31000000000000005,0.7509790527343749,0.278327529296875
5,BITO,12.444999694824219,12.0,0.6,0.20500000000000002,0.57812921875,0.6796907031250001
6,BKLN,21.014999389648438,21.0,0.1,0.075,0.195320546875,0.1601646484375
7,DIA,322.6499938964844,322.0,3.0999999999999996,2.955,0.18689777954101564,0.21826953613281247
8,DUST,24.844999313354492,24.5,1.175,0.85,0.8623060644531251,0.8798840136718749
9,EEM,39.900001525878906,39.5,0.63,0.21500000000000002,0.23242955078125,0.2148516015625
10,EFA,62.744998931884766,62.5,1.13,0.575,0.2573316455078125,0.25196060546875
11,EMB,86.18000030517578,86.0,4.7,0.75,1.107426337890625,0.21826953613281247
12,ERX,64.55000305175781,64.0,2.25,2.075,0.6543003320312502,0.7797873583984375
13,EWJ,54.05390167236328,54.0,6.95,0.5,1.009770576171875,0.22852333984375
14,EWW,46.17499923706055,46.0,0.625,0.45,0.28321029296874994,0.29492892578124996
15,EWY,57.34000015258789,57.0,1.25,0.525,0.32617861328125,0.2841868457031249
16,EWZ,32.650001525878906,32.5,0.56,0.51,0.33008482421874996,0.38867798828125
17,FAS,74.58000183105469,74.5,2.585,2.67,0.7314479980468749,0.7788108056640625
18,FAZ,22.860000610351562,22.5,1.0499999999999998,0.625,0.8105487695312499,0.7480493945312501
19,FEZ,34.41999816894531,34.0,0.75,0.4,0.35352208984374994,0.39942006835937505
20,FXE,92.41000366210938,92.0,0.7749999999999999,0.3,0.1450280810546875,0.12305564453125001
21,FXI,30.55500030517578,30.5,0.475,0.395,0.331061376953125,0.30664755859375
22,GDX,24.625,24.5,0.5549999999999999,0.45,0.44043528320312497,0.45313046875
23,GDXJ,30.579999923706055,30.5,0.715,0.675,0.49023947265625006,0.5009815527343751
24,GLD,161.84210205078125,161.5,1.37,0.925,0.159188095703125,0.14600463378906248
25,HYG,75.61000061035156,75.5,0.54,0.645,0.145516357421875,0.213875048828125
26,IBB,122.94999694824219,122.5,1.85,1.725,0.29932341308593746,0.35205726074218746
27,ICLN,22.520000457763672,22.5,0.425,0.425,0.46680220703125,0.48438015625
28,IEF,101.34500122070312,101.0,0.71,0.415,0.12500875,0.13501841552734378
29,ITB,57.790000915527344,57.5,1.525,1.0,0.4335994140625,0.46094289062500005
30,IVV,407.1499938964844,407.0,4.9,4.6,0.24768818725585937,0.26697510375976563
31,IWM,188.60000610351562,188.0,2.62,2.475,0.26367923828125,0.3161689477539062
32,IYR,96.88999938964844,96.5,1.475,1.02,0.22754678710937498,0.2802806347656249
33,JDST,14.260000228881836,14.0,0.825,0.525,1.0429735351562504,0.9804689453125001
34,JETS,17.614999771118164,17.5,0.355,0.255,0.38867798828125,0.39453730468750003
35,JNUG,29.424999237060547,29.0,1.5,1.15,0.9355475195312499,0.992187578125
36,KRE,63.5,63.5,1.1099999999999999,0.915,0.30371790039062496,0.32031929687499994
37,KWEB,29.895000457763672,29.5,0.935,0.43,0.5195360546875,0.45313046875
38,LABD,20.979999542236328,20.5,1.825,1.025,1.626954990234375,1.29297228515625
39,LABU,9.255000114440918,9.0,0.625,0.525,1.1445355273437499,1.5156274218749999
40,LQD,110.32499694824219,110.0,0.855,0.63,0.1667563793945313,0.16577982666015628
41,MJ,6.1596999168396,6.0,0.3,0.075,0.7421900781249999,0.7812521875
42,MSOS,13.670000076293945,13.5,0.55,0.4,0.726565234375,0.7578149218750001
43,NUGT,27.049999237060547,27.0,1.1,1.1,0.851563984375,0.89257919921875
44,OIH,255.99000549316406,255.0,6.5,6.25,0.5023243127441408,0.5644574804687501
45,QQQ,306.3800048828125,306.0,4.3,4.555,0.287970987548828,0.3327703442382813
46,SARK,56.09000015258789,55.5,1.75,1.2,0.6513706738281251,0.5664105859375
47,SDS,43.20000076293945,43.0,1.125,0.7749999999999999,0.507817421875,0.47070841796875
48,SILJ,9.1850004196167,9.0,0.4,0.15000000000000002,0.70312796875,0.5429733203125001
49,SLV,17.315000534057617,17.0,0.435,0.095,0.31445998046874996,0.27735097656249996
50,SMH,220.97000122070312,220.0,4.275,3.825,0.37354142089843745,0.4243221630859375
