,symbol,last_price,strike,atm_call_last,atm_put_last,atm_call_IV,atm_put_IV
0,AMLP,40.810001373291016,40.0,1.025,0.55,0.29492892578124996,0.3012765185546875
1,ARKG,36.58000183105469,36.5,1.65,1.525,0.5639692041015626,0.5483443603515626
2,ARKK,42.84000015258789,42.5,2.16,1.815,0.59570716796875,0.5942423388671876
3,BITO,12.59000015258789,12.5,0.6950000000000001,0.625,0.6621127539062501,0.6835969140625001
4,DIA,322.92999267578125,322.5,5.2,4.55,0.19959296508789062,0.19086502502441405
5,DUST,24.309999465942383,24.0,1.575,1.2999999999999998,0.7500025,0.7685570019531252
6,EEM,40.0099983215332,40.0,0.6200000000000001,0.6000000000000001,0.215828154296875,0.20948056152343747
7,EFA,62.709999084472656,62.0,2.165,0.7250000000000001,0.27149166015625,0.23194127441406248
8,EMB,86.54000091552734,86.5,,1.2149999999999999,0.0,0.21289849609375
9,ERX,61.380001068115234,60.0,3.65,2.75,0.7236355761718749,0.71679970703125
10,EWW,46.540000915527344,46.5,0.875,0.825,0.25586681640625003,0.26709717285156254
11,EWZ,32.0099983215332,32.0,0.905,0.865,0.37402969726562496,0.358404853515625
12,FAS,75.26000213623047,75.0,4.3,3.625,0.7106962524414062,0.6398961791992188
13,FAZ,22.639999389648438,22.0,1.5499999999999998,0.85,0.6904327832031252,0.6552768847656252
14,FXE,92.01000213623047,92.0,0.825,0.75,0.1245204736328125,0.11206942626953123
15,FXI,30.700000762939453,30.5,0.825,0.5900000000000001,0.32031929687499994,0.30371790039062496
16,GDX,24.899999618530273,24.5,0.995,0.585,0.42774009765625004,0.42774009765625004
17,GDXJ,30.940000534057617,30.5,1.33,0.835,0.495122236328125,0.46094289062500005
18,GLD,161.75999450683594,161.5,1.935,1.43,0.14466187377929687,0.12488668090820312
19,HYG,75.80999755859375,75.5,0.8899999999999999,0.865,0.13111220458984374,0.17896328857421873
20,IBB,122.94999694824219,122.5,3.25,2.45,0.31372756591796874,0.29407444213867184
21,ICLN,22.610000610351562,22.5,0.775,0.6,0.47852083984375,0.42774009765625004
22,IEF,101.97000122070312,101.5,0.9650000000000001,0.55,0.09961837890625,0.1049894189453125
