,symbol,last_price,strike,atm_call_last,atm_put_last,atm_call_IV,atm_put_IV
0,AMLP,39.72999954223633,39.5,0.7749999999999999,0.525,0.39453730468750003,0.383795224609375
1,ARKF,16.889999389648438,16.5,0.75,0.35,0.6835969140625001,0.6699251757812501
2,ARKG,34.66999816894531,34.5,1.125,0.95,0.6425816992187501,0.639652041015625
3,ARKK,40.59000015258789,40.5,1.365,1.24,0.6972686523437501,0.6787141503906251
4,ASHR,29.469999313354492,29.0,4.475,0.14,0.5937540625000001,0.2617261328125
5,BITO,12.180000305175781,12.0,0.505,0.36,0.7226590234375,0.78711150390625
6,DIA,313.760009765625,313.0,3.7750000000000004,2.71,0.2362136926269531,0.21216608154296873
7,DUST,26.3799991607666,26.0,1.225,0.85,0.8378922460937499,0.84179845703125
8,EEM,38.7599983215332,38.5,0.595,0.31,0.2880930566406249,0.25977302734375
9,EFA,60.470001220703125,60.0,1.03,0.5249999999999999,0.30762411132812495,0.282233740234375
10,EMB,85.08000183105469,85.0,0.7050000000000001,0.5700000000000001,0.188484677734375,0.17383638671875
11,ERX,57.099998474121094,57.0,2.45,2.325,0.901368173828125,0.8916026464843749
12,EWW,45.58000183105469,45.5,0.9750000000000001,0.575,0.34180345703125,0.3242255078124999
13,EWZ,30.8700008392334,30.5,0.81,0.45999999999999996,0.445318046875,0.45313046875
14,FAS,69.70999908447266,69.5,2.745,2.585,0.8120135986328124,0.8276384423828124
15,FAZ,24.43000030517578,24.0,1.15,0.7,0.8125018749999999,0.7949239257812499
16,FEZ,33.060001373291016,33.0,0.575,0.55,0.4023497265625,0.44043528320312497
17,FXE,91.9000015258789,91.5,1.2,0.45,0.16651224121093755,0.159188095703125
18,FXI,29.260000228881836,29.0,0.63,0.33999999999999997,0.389654541015625,0.35156898437499995
19,GDX,23.790000915527344,23.5,0.665,0.33999999999999997,0.48242705078125003,0.43555251953125
20,GDXJ,29.290000915527344,29.0,0.8600000000000001,0.5549999999999999,0.5185595019531251,0.507817421875
21,GLD,159.25999450683594,159.0,1.37,1.065,0.17041845214843754,0.16358258300781253
22,HYG,74.30999755859375,74.0,0.7050000000000001,0.4,0.17090672851562502,0.16211775390625
23,IAU,32.470001220703125,32.0,0.575,0.1,0.24414818359375,0.22168747070312497
24,IBB,121.19000244140625,121.0,1.9,1.625,0.3544986425781249,0.334967587890625
25,ICLN,21.440000534057617,21.0,0.7250000000000001,0.25,0.5585981640625001,0.49414568359375005
26,IEF,100.5199966430664,100.5,0.575,0.495,0.13428600097656251,0.1235439208984375
27,ITB,55.599998474121094,55.5,1.125,0.9750000000000001,0.44336494140625,0.42383388671875
28,IVV,394.2799987792969,394.0,5.6,4.6,0.31763377685546873,0.29016823120117186
29,IWM,180.08999633789062,180.0,2.775,2.46,0.3276434423828125,0.3002999658203125
30,IYR,93.20999908447266,93.0,1.22,1.005,0.274421318359375,0.2695385546875
31,JDST,15.350000381469727,15.0,0.925,0.6,1.0410204199218753,1.076176494140625
32,JETS,17.020000457763672,17.0,0.33999999999999997,0.345,0.45313046875,0.47852083984375
33,JNUG,26.68000030517578,26.5,1.425,1.125,1.0742233789062503,0.9775392871093751
34,KRE,61.77000045776367,61.5,1.01,0.73,0.3789124609375,0.37500625
35,KWEB,28.719999313354492,28.5,0.7949999999999999,0.55,0.508793974609375,0.5048877636718749
36,LABD,22.190000534057617,22.0,1.6,1.2999999999999998,1.4589870800781248,1.3515657421874998
37,LABU,8.670000076293945,8.5,0.6499999999999999,0.5,1.3984405078125,1.453127734375
