,symbol,last_price,strike,atm_call_last,atm_put_last,atm_call_IV,atm_put_IV
0,AMLP,37.779998779296875,38.0,0.5,0.95,0.2919992675781249,0.46289599609375004
1,ARKF,20.18000030517578,20.5,0.57,0.75,0.5820354296875,0.6074258007812501
2,ARKG,39.439998626708984,39.5,1.03,1.13,0.48438015625,0.5449264257812501
3,ARKK,49.43130111694336,49.5,1.82,1.6,0.5410202148437502,0.5942423388671876
4,ASHR,31.18000030517578,31.5,0.24,0.83,0.20996883789062498,0.266608896484375
5,BITO,14.210100173950195,14.5,0.44,0.68,0.6757844921875001,0.62305064453125
6,DIA,326.04998779296875,327.0,2.43,3.17,0.15137567382812503,0.13990117919921874
7,DUST,22.8799991607666,23.0,1.2,1.7,0.76367423828125,0.84179845703125
8,EEM,39.900001525878906,40.0,0.39,0.39,0.194343994140625,0.16407085937500002
9,EFA,64.69499969482422,65.0,1.01,0.67,0.196297099609375,0.16895362304687503
10,EMB,87.77999877929688,88.0,0.63,0.84,0.15137567382812503,0.25391371093750004
11,ERX,48.15999984741211,49.0,1.9,2.15,0.694338994140625,0.6718782812500002
12,EWJ,55.06999969482422,55.5,0.42,0.45,0.1870198486328125,0.15821154296875
13,EWW,45.67499923706055,46.0,1.25,1.36,0.25196060546875,0.26856200195312496
14,EWY,60.63999938964844,61.0,0.78,2.8,0.25586681640625003,0.2104571142578125
15,EWZ,29.510000228881836,30.0,0.42,0.92,0.34961587890624996,0.2890696093749999
16,FAS,75.53500366210938,76.0,2.94,2.2,0.6533237792968751,0.5117236328125
17,FAZ,23.190000534057617,23.5,0.6,1.0,0.577152666015625,0.6425816992187501
18,FXE,93.80000305175781,94.0,1.33,0.51,0.116219775390625,0.0981535498046875
19,FXI,30.010000228881836,30.5,0.29,0.72,0.2841868457031249,0.25977302734375
20,GDX,25.844999313354492,26.0,0.58,0.62,0.4335994140625,0.358404853515625
21,GDXJ,33.040000915527344,33.5,0.69,0.92,0.4687553125,0.4062559375
22,GLD,165.4499969482422,165.5,1.52,1.36,0.15406119384765626,0.14063359375
23,HYG,77.69499969482422,78.0,0.46,0.44,0.14112187011718752,0.1054776953125
24,IAU,33.71500015258789,34.0,0.11,0.67,0.187508125,0.16895362304687503
25,IBB,129.6699981689453,130.0,1.82,2.3,0.229499892578125,0.3171455004882812
26,ICLN,22.21500015258789,22.5,0.45,0.69,0.44043528320312497,0.414068359375
27,IEF,103.37999725341797,103.5,0.84,0.62,0.13575083007812502,0.1010832080078125
28,ITB,60.0099983215332,60.5,1.8,1.88,0.331061376953125,0.305671005859375
29,IVV,413.1099853515625,417.0,5.67,7.1,0.2142412561035156,0.15692981750488283
30,IWM,189.0699005126953,190.0,1.97,2.82,0.2180253979492187,0.2036212451171875
31,IYR,97.29000091552734,97.5,1.3,1.09,0.22461712890624996,0.19336744140625
32,JDST,12.470000267028809,12.5,0.5,1.03,0.8007832421875,0.9687503125
33,JETS,18.2450008392334,18.5,0.26,0.4,0.33399103515625,0.35938140625
34,JNUG,34.824798583984375,35.0,2.05,1.7,0.93945373046875,0.804689453125
35,KRE,63.790000915527344,64.0,0.87,0.89,0.241218525390625,0.22022264160156246
36,KWEB,28.344999313354492,28.5,0.77,0.82,0.49219257812500006,0.48242705078125003
37,LABD,19.260000228881836,20.0,1.35,1.45,1.7285169824218751,0.7382838671874999
38,LABU,11.25,11.5,0.4,1.07,0.7675804492187501,1.671876640625
39,LQD,112.36000061035156,112.5,0.8,0.67,0.14576049560546872,0.10352458984374999
40,MJ,6.054999828338623,6.5,0.08,0.5,0.5312546875,0.648441015625
41,MSOS,11.329999923706055,11.5,0.44,0.66,0.7500025,0.7187528125
42,NUGT,30.079999923706055,30.5,1.4,1.5,0.867188828125,0.70117486328125
43,OIH,227.57000732421875,230.0,6.1,6.6,0.47681187255859375,0.47461462890625
44,QQQ,319.3800048828125,320.0,4.5,4.97,0.25965095825195317,0.24488059814453128
45,SARK,49.67570114135742,50.0,1.35,1.96,0.62305064453125,0.5205126074218749
46,SDS,42.1349983215332,42.5,0.65,1.21,0.36817038085937503,0.422857333984375
47,SILJ,9.699999809265137,10.0,0.2,0.4,0.6093789062500001,0.5195360546875
48,SLV,18.334999084472656,18.5,0.24,0.34,0.2910227148437499,0.23828886718749998
49,SMH,241.19000244140625,242.5,4.6,5.0,0.3414372497558594,0.31958688232421867
50,SOXL,20.904499053955078,21.0,1.22,1.19,1.021489267578125,0.9433599414062499
51,SOXS,36.689998626708984,37.0,1.8,2.45,0.945313046875,1.0283251708984378
52,SPXU,15.409600257873535,15.5,0.42,0.58,0.52539537109375,0.5742230078125
53,SPY,410.93499755859375,411.0,4.45,4.24,0.18793536682128903,0.17170017761230472
54,SQQQ,38.209999084472656,39.0,1.4,2.37,0.764650791015625,0.7929708203125
55,SSO,52.939998626708984,53.0,1.21,1.0,0.40918559570312496,0.3579165771484375
56,SVXY,53.59000015258789,54.0,0.65,0.85,0.31201859863281245,0.22852333984375
57,TAN,83.77999877929688,85.0,2.05,2.52,0.4760794580078125,0.5105029418945313
58,TBT,25.190000534057617,25.5,0.38,0.8,0.3544986425781249,0.436529072265625
59,TLT,115.98999786376953,116.0,1.44,1.08,0.20655090332031245,0.1687094848632813
60,TNA,44.61000061035156,45.0,1.69,1.48,0.6533237792968751,0.6001016552734376
61,TQQQ,34.459800720214844,34.5,1.65,1.53,0.7919942675781251,0.72851833984375
62,TZA,32.83869934082031,33.0,1.18,1.53,0.639652041015625,0.6835969140625001
63,UCO,33.86000061035156,34.0,1.85,2.3,0.8330094824218748,0.788088056640625
64,UNG,28.087799072265625,28.5,1.22,1.69,0.8085956640624999,0.710940390625
65,UPRO,44.36880111694336,44.5,1.55,1.14,0.577152666015625,0.5273484765625001
66,URA,21.09000015258789,21.5,0.37,0.8,0.5039112109375,0.45508357421875
67,USO,72.57489776611328,73.0,1.69,1.86,0.45508357421875,0.43506424316406256
68,UUP,28.530000686645508,29.0,0.05,0.57,0.13672738281250002,0.13672738281250002
69,UVXY,10.3149995803833,10.5,0.5,0.72,0.9414068359375,1.01172369140625
70,VIXY,14.579999923706055,15.0,0.25,0.5,0.5507857421875001,0.58789474609375
71,VXX,21.670000076293945,22.0,0.36,0.91,0.4023497265625,0.5214891601562499
72,WEAT,8.149999618530273,8.5,0.1,0.5,0.5390671093750001,0.5937540625000001
73,XBI,90.11000061035156,93.0,1.08,7.0,0.2617261328125,0.6508823974609376
74,XHB,63.30500030517578,63.5,1.2,0.94,0.3193427441406249,0.29395237304687494
75,XLB,76.6500015258789,77.0,1.04,0.99,0.26807372558593745,0.22364057617187497
76,XLC,56.689998626708984,57.0,1.24,0.56,0.327155166015625,0.27930408203124996
77,XLE,73.125,73.5,1.33,1.46,0.36524072265625,0.344733115234375
78,XLF,33.61000061035156,34.0,0.25,0.53,0.20899228515624996,0.18164880859375
79,XLI,95.33999633789062,95.5,1.21,1.47,0.20557435058593748,0.16993017578125003
80,XLK,145.5,146.0,2.53,2.07,0.26489992919921873,0.23242955078125
81,XLP,74.06500244140625,74.5,0.44,0.43,0.15137567382812503,0.15039912109375003
82,XLU,73.73999786376953,74.0,0.67,0.97,0.20020331054687499,0.15869981933593752
83,XLV,130.99000549316406,131.0,1.3,1.06,0.1840901904296875,0.1557701611328125
84,XLY,164.14999389648438,165.0,2.49,3.04,0.30823445678710937,0.27295648925781246
85,XME,47.93000030517578,50.0,1.2,2.57,0.47119669433593747,0.454107021484375
86,XOP,129.17999267578125,129.5,3.5,3.45,0.46973186523437505,0.44360907958984375
87,XRT,66.20999908447266,66.5,1.59,1.03,0.3676821044921875,0.3549869189453124
88,YINN,66.54810333251953,67.0,3.1,3.0,0.8247087841796874,0.7402369726562499
